Nome;Squadra;Qt.A;FVM M;RM;Pv(2024);Fm(2024);Gf(2024);Pv(2023);Fm(2023);Gf(2023);Ass(2023);Amm(2023);Esp(2023)
Sommer;Inter;19;55;Por;3;6,33;0;34;5,63;0;0;1;0
Di Gregorio;Juventus;18;55;Por;3;6;0;33;5,47;0;0;0;0
Meret;Napoli;15;38;Por;3;5;0;31;4,97;0;0;0;0
Maignan;Milan;14;36;Por;3;4,5;0;29;4,86;0;1;1;1
Svilar;Roma;14;35;Por;3;5,67;0;15;5,37;0;0;1;0
Skorupski;Bologna;12;25;Por;3;5,67;0;32;5,33;0;0;2;0
Milinkovic-Savic V.;Torino;12;26;Por;3;6,67;0;36;5,24;0;0;2;0
Carnesecchi;Atalanta;12;27;Por;2;3,5;0;27;5,3;0;0;0;0
Provedel;Lazio;11;30;Por;3;4;0;30;5,13;0;0;0;0
Terracciano;Fiorentina;11;10;Por;3;5,17;0;33;5,26;0;0;3;0
Gollini;Genoa;10;17;Por;3;4,17;0;7;4,86;0;0;0;0
De Gea;Fiorentina;10;15;Por;0;0;0;NP;NP;NP;NP;NP;NP
Falcone;Lecce;9;17;Por;3;4,17;0;38;4,91;0;0;0;0
Scuffet;Cagliari;8;16;Por;3;5,67;0;31;4,31;0;0;3;0
Audero;Como;8;9;Por;0;0;0;4;5,25;0;0;0;0
Turati;Monza;8;12;Por;1;5;0;31;4,42;0;0;0;0
Montipo';Verona;8;17;Por;3;5,17;0;37;4,99;0;0;0;0
Okoye;Udinese;8;18;Por;3;5,5;0;21;4,93;0;0;2;0
Joronen;Venezia;7;11;Por;3;5,33;0;NP;NP;NP;NP;NP;NP
Vasquez D.;Empoli;7;7;Por;3;5,5;0;NP;NP;NP;NP;NP;NP
Suzuki;Parma;7;11;Por;3;4,83;0;NP;NP;NP;NP;NP;NP
Reina;Como;3;6;Por;3;4,33;0;NP;NP;NP;NP;NP;NP
Pizzignacco;Monza;3;3;Por;2;5,75;0;NP;NP;NP;NP;NP;NP
Sportiello;Milan;1;1;Por;0;0;0;7;4,57;0;0;0;0
Leali;Genoa;1;1;Por;0;0;0;2;5,25;0;0;1;0
Donnarumma An.;Torino;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Perin;Juventus;1;2;Por;0;0;0;3;5,67;0;0;0;0
Sommariva;Genoa;1;1;Por;0;0;0;0;0;0;0;0;0
Perilli;Verona;1;1;Por;0;0;0;1;5,5;0;0;0;0
Padelli;Udinese;1;1;Por;0;0;0;0;0;0;0;0;0
Perisan;Empoli;1;1;Por;0;0;0;1;3;0;0;0;0
Di Gennaro;Inter;1;1;Por;0;0;0;1;6,5;0;0;0;0
Pinsoglio;Juventus;1;1;Por;0;0;0;1;6,5;0;0;0;0
Cragno;Monza;1;1;Por;0;0;0;3;3,67;0;0;0;0
Rossi F.;Atalanta;1;1;Por;0;0;0;1;6,5;0;0;0;0
Fruchtl;Lecce;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Ravaglia F.;Bologna;1;1;Por;0;0;0;6;6,33;0;0;0;0
Vigorito;Como;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Contini;Napoli;1;1;Por;0;0;0;1;6;0;0;0;0
Rui Patricio;Atalanta;1;1;Por;0;0;0;23;4,78;0;0;1;0
Brancolini;Empoli;1;1;Por;0;0;0;0;0;0;0;0;0
Caprile;Napoli;1;2;Por;0;0;0;23;5,22;0;0;0;0
Berardi A.;Verona;1;1;Por;0;0;0;0;0;0;0;0;0
Ciocci;Cagliari;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Martinez Jo.;Inter;1;2;Por;0;0;0;36;4,97;0;0;2;1
Paleari;Torino;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Ryan;Roma;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Bertinato;Venezia;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Bagnolini;Bologna;1;1;Por;0;0;0;0;0;0;0;0;0
Martinelli T.;Fiorentina;1;1;Por;0;0;0;1;4,5;0;0;0;0
Stankovic F.;Venezia;1;1;Por;0;0;0;0;0;0;0;0;0
Christensen O.;Fiorentina;1;1;Por;0;0;0;4;3,25;0;0;0;0
Furlanetto;Lazio;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Mandas;Lazio;1;1;Por;0;0;0;8;5,5;0;0;0;0
Nava;Milan;1;1;Por;0;0;0;1;4,5;0;0;0;0
Samooja;Lecce;1;1;Por;0;0;0;0;0;0;0;0;0
Sherri;Cagliari;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Chichizola;Parma;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Corvi;Parma;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Grandi;Venezia;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Torriani;Milan;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Marin Re.;Roma;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Sava;Udinese;1;1;Por;0;0;0;NP;NP;NP;NP;NP;NP
Dimarco;Inter;24;48;E;3;6,17;0;30;7,18;5;6;0;0
Hernandez T.;Milan;20;42;"Ds;E";3;6;0;32;6,45;5;3;10;1
