Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2428;P;Por;Sommer;Inter;3;6;6,33;0;2;1;0;0;0;0;0;0;0
5876;P;Por;Di Gregorio;Juventus;3;6;6;0;0;0;0;0;0;0;0;0;0
572;P;Por;Meret;Napoli;3;6,33;5;0;4;0;0;0;0;0;0;0;0
4312;P;Por;Maignan;Milan;3;6,5;4,5;0;6;0;0;0;0;0;0;0;0
5841;P;Por;Svilar;Roma;3;6,33;5,67;0;2;0;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;3;6,33;5,67;0;5;1;0;0;0;0;0;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;3;6,83;6,67;0;3;1;0;0;0;0;1;0;0
4431;P;Por;Carnesecchi;Atalanta;2;6,5;3,5;0;6;0;0;0;0;0;0;0;0
2814;P;Por;Provedel;Lazio;3;5,67;4;0;5;0;0;0;0;0;0;0;0
2815;P;Por;Terracciano;Fiorentina;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
610;P;Por;Gollini;Genoa;3;5,67;4,17;0;4;0;0;0;0;0;1;0;0
2521;P;Por;De Gea;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;3;6,33;4,17;0;6;0;0;0;0;0;1;0;0
574;P;Por;Scuffet;Cagliari;3;6,33;5,67;0;2;0;0;0;0;0;0;0;0
761;P;Por;Audero;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
4867;P;Por;Turati;Monza;1;7;5;0;2;0;0;0;0;0;0;0;0
4957;P;Por;Montipo';Verona;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
6462;P;Por;Okoye;Udinese;3;6,33;5,5;0;2;0;0;0;0;0;1;0;0
4425;P;Por;Joronen;Venezia;3;6,67;5,33;0;4;0;0;0;0;0;0;0;0
6125;P;Por;Vasquez D.;Empoli;3;6,33;5,5;0;2;0;0;0;0;0;1;0;0
6641;P;Por;Suzuki;Parma;3;5,83;4,83;0;2;0;0;0;0;0;0;1;0
2792;P;Por;Musso;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
387;P;Por;Reina;Como;3;6;4,33;0;5;0;0;0;0;0;0;0;0
6682;P;Por;Pizzignacco;Monza;2;6,25;5,75;0;1;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P;Por;Sportiello;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
188;P;Por;Leali;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
216;P;Por;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
219;P;Por;Sommariva;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
511;P;Por;Perilli;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
543;P;Por;Padelli;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
673;P;Por;Perisan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
1926;P;Por;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
2091;P;Por;Plizzari;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;P;Por;Cragno;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2211;P;Por;Silvestri;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2401;P;Por;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
2722;P;Por;Ravaglia F.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2809;P;Por;Vigorito;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;P;Por;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4270;P;Por;Rui Patricio;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4351;P;Por;Brancolini;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4360;P;Por;Caprile;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4491;P;Por;Berardi A.;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4929;P;Por;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
5116;P;Por;Martinez Jo.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
5304;P;Por;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5320;P;Por;Paleari;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
5338;P;Por;Rinaldi;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
5384;P;Por;Ryan;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5521;P;Por;Bertinato;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
5822;P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5853;P;Por;Sorrentino A.;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6210;P;Por;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6248;P;Por;Stankovic F.;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Por;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6417;P;Por;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6482;P;Por;Mandas;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Por;Nava;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
